NamBriefName,NamFirst,NamLast,NamMiddle,NamRoles_tab(1)
T. Pape,T.,Pape,,Collector
Pape,,Pape,,Collector
T. Pape,T.,Pape,,Identifier
N. Paramonov,N.,Paramonov,,Identifier
S. J. Paramonov,S.,Paramonov,J.,Identifier
R. C. Patel,R.,Patel,C.,Collector
H. Paterson,H.,Paterson,,Collector
A. Patino,A.,Patino,,Collector
D. Peckham,D.,Peckham,,Collector
L. E. Pena,L.,Pena,E.,Collector
R. B. Penfield,R.,Penfield,B.,Collector
D. Perez,D.,Perez,,Collector
Kate Perez,Kate,Perez,,Identifier
D. Perez,D.,Perez,,Identifier
D. E. Perez-Gelabert,D.,Perez-Gelabert,E.,Collector
W. H. Pierce,W.,Pierce,H.,Collector
R. R. PingerJr.,R.,PingerJr.,R.,Collector
H. K. Plant,H.,Plant,K.,Collector
Pleske,,Pleske,,Author
H. Pohl,H.,Pohl,,Collector
A. C. Pont,A.,Pont,C.,Identifier
R. L. V. Poole,R.,Poole,L. V.,Collector
L. Posada,L.,Posada,,Collector
C. Priszynski,C.,Priszynski,,Collector
A. E. Pritchard,A.,Pritchard,E.,Identifier
R. Psencik,R.,Psencik,,Collector
G. J. Puterka,G.,Puterka,J.,Collector
L. Quiniero,L.,Quiniero,,Collector
V. P. Rao,V.,Rao,P.,Collector
V. P. Rau,V.,Rau,P.,Collector
H. Real,H.,Real,,Collector
J. Redon,J.,Redon,,Collector
L. Reichert,L.,Reichert,,Collector
E. F. Reik,E.,Reik,F.,Collector
K. Rennell,K.,Rennell,,Collector
C. W.  Rettenmeyer,C.,Rettenmeyer,W. ,Collector
C. W. Rettenmeyer,C.,Rettenmeyer,W.,Collector
M. E. Rettenmeyer,M.,Rettenmeyer,E.,Collector
V. Richter,V.,Richter,,Identifier
M. P. Riedel,M.,Riedel,P.,Collector
Max Paul Riedel,Max,Riedel,Paul,Identifier
T. Robbins,T.,Robbins,,Collector
L. W. Roberts,L.,Roberts,W.,Collector
L. Rogers,L.,Rogers,,Collector
Knut Rognes,Knut,Rognes,,Identifier
Rohdendorf,,Rohdendorf,,Author
M. R. Romero,M.,Romero,R.,Collector
A. C. Ront,A.,Ront,C.,Identifier
V. D. Roth,V.,Roth,D.,Collector
Rudolf Rozkosny,Rudolf,Rozkosny,,Identifier
R. F. Ruppel,R.,Ruppel,F.,Collector
A. Rybarh,A.,Rybarh,,Collector
M. Sabourin,M.,Sabourin,,Collector
C.M. Sabroksy,C.M.,Sabroksy,,Identifier
B. B. Sabrosky,B.,Sabrosky,B.,Identifier
C. W. Sabrosky,C.,Sabrosky,W.,Identifier
R. I.  Sailer,R.,Sailer,I. ,Collector
K. Sarv,K.,Sarv,,Collector
O. Sausa,O.,Sausa,,Collector
A. G. Scarbrough,A.,Scarbrough,G.,Collector
A. G. Scarbrough,A.,Scarbrough,G.,Identifier
W. Schacht,W.,Schacht,,Collector
P. Schaefer,P.,Schaefer,,Collector
E. I. Schminger,E.,Schminger,I.,Identifier
J. Semidey,J.,Semidey,,Collector
Senior-White,,Senior-White,,Author
M. Sharkey,M.,Sharkey,,Collector
J. G. Shaw,J.,Shaw,G.,Collector
G.E. Shewell,G.E.,Shewell,,Identifier
Shimer,,Shimer,,Author
S. Shinonaga,S.,Shinonaga,,Identifier
S. Shinonaga,S.,Shinonaga,,Collector
J. Shuster,J.,Shuster,,Collector
S. Sifiwardane,S.,Sifiwardane,,Collector
R. Silberglied,R.,Silberglied,,Collector
R. E. Silberglied,R.,Silberglied,E.,Collector
P. Sillivan,P.,Sillivan,,Collector
Silveira,,Silveira,,Collector
B. J. Sinclair,B.,Sinclair,J.,Identifier
S.  Siriwardane,S.,Siriwardane,,Collector
M. T. Smith,M.,Smith,T.,Collector
R. Sobhian,R.,Sobhian,,Collector
Sourcouf,,Sourcouf,,Author
P. J. Spanger,P.,Spanger,J.,Collector
G. H. Sperry,G.,Sperry,H.,Collector
J. L. Sperry,J.,Sperry,L.,Collector
Stackelberg,,Stackelberg,,Collector
B. Stark,B.,Stark,,Collector
K. Starr,K.,Starr,,Collector
Stephenson,,Stephenson,,Collector
J. Stewart,J.,Stewart,,Collector
M. M. Stromberg,M.,Stromberg,M.,Collector
D. R. Stuckenberg,D.,Stuckenberg,R.,Collector
P. J. Stuckenberg,P.,Stuckenberg,J.,Collector
B. Stuckenberg,B.,Stuckenberg,,Identifier
J. J. Sullivan,J.,Sullivan,J.,Collector
P. Sullivan,P.,Sullivan,,Collector
